f1,precision,recall,feature
0.6565278717758737,0.5115909738693294,0.9179999999999999,count_dictionary_words
0.6610206498760142,0.5181650990154572,0.914,count_words
0.6630151848128494,0.5025883230665917,0.974,pos_adj
0.6630151848128494,0.5025883230665917,0.974,pos_adv
0.6634614066269335,0.5033635438404381,0.9730000000000001,pos_propn
0.6634655787482282,0.5033757463532987,0.9730000000000001,pos_noun
0.6639145045320513,0.5041593762815887,0.9720000000000001,pos_punct
0.6639214495507197,0.5030985000174832,0.976,pos_pron
0.6641474382512846,0.5033568776160142,0.976,count_capitalized
0.6641474382512846,0.5033568776160142,0.976,count_elongated
0.6641474382512846,0.5033568776160142,0.976,count_mentions
0.6641474382512846,0.5033568776160142,0.976,count_url
0.6641474382512846,0.5033568776160142,0.976,proportion_capitalized
0.6641474382512846,0.5033568776160142,0.976,concept_aptitude_avg_abs
0.6641474382512846,0.5033568776160142,0.976,concept_attention_avg_abs
0.6641474382512846,0.5033568776160142,0.976,concept_attention_sum_abs
0.6641474382512846,0.5033568776160142,0.976,concept_pleasantness_avg_abs
0.6641474382512846,0.5033568776160142,0.976,concept_pleasantness_sum_abs
0.6641474382512846,0.5033568776160142,0.976,concept_polarity_avg_abs
0.6641474382512846,0.5033568776160142,0.976,concept_polarity_sum_abs
0.6641474382512846,0.5033568776160142,0.976,concept_sensitivity_avg_abs
0.6641474382512846,0.5033568776160142,0.976,concept_sensitivity_sum_abs
0.6641474382512846,0.5033568776160142,0.976,pos_adp
0.6641474382512846,0.5033568776160142,0.976,pos_aux
0.6641474382512846,0.5033568776160142,0.976,pos_cconj
0.6641474382512846,0.5033568776160142,0.976,pos_intj
0.6641474382512846,0.5033568776160142,0.976,pos_num
0.6641474382512846,0.5033568776160142,0.976,pos_part
0.6641474382512846,0.5033568776160142,0.976,pos_sconj
0.6641474382512846,0.5033568776160142,0.976,pos_sym
0.6641474382512846,0.5033568776160142,0.976,pos_verb
0.6641474382512846,0.5033568776160142,0.976,pos_x
0.6641474382512846,0.5033568776160142,0.976,count_number_date_time
0.6641474382512846,0.5033568776160142,0.976,future_tense
0.6641474382512846,0.5033568776160142,0.976,rule2
0.6641474382512846,0.5033568776160142,0.976,rule3
0.6641474382512846,0.5033568776160142,0.976,rule4
0.6641474382512846,0.5033568776160142,0.976,rule5
0.6641474382512846,0.5033568776160142,0.976,count_expressions
0.6641474382512846,0.5033568776160142,0.976,emoji_polarity_score
0.6641474382512846,0.5033568776160142,0.976,emoticon_polarity_score
0.6641474382512846,0.5033568776160142,0.976,negation
0.6643711480871362,0.5036113305422228,0.976,concept_aptitude_sum_abs
0.6643738106338539,0.5036165972248446,0.976,pos_det
0.6643852010372943,0.5033609562166148,0.977,lexicon_subjective
0.6643852010372943,0.5033609562166148,0.977,lexicon_positive
0.6643852010372943,0.5033609562166148,0.977,lexicon_negative
0.6643852010372943,0.5033609562166148,0.977,lexicon_quotation_exclamation
0.6643852010372943,0.5036246206245564,0.976,count_named_entities
0.6646111897378593,0.5036193338151459,0.977,lexicon_subjective_prop
0.6646111897378593,0.5036193338151459,0.977,lexicon_positive_prop
0.6646111897378593,0.5036193338151459,0.977,lexicon_negative_prop
0.6646111897378593,0.5036193338151459,0.977,lexicon_quotation_exclamation_prop
0.6646111897378593,0.5036193338151459,0.977,rule1
